LEVEL 2 MATHEMATICS			
			
			
TOPIC NAME 	VIDEO LECTURE.	PRACTICE	FAST TRACK MODE
PERMUTATION AND COMBINATION	https://www.youtube.com/watch?v=qw8OE2UpTnk&list=PLbu_fGT0MPsugFvokgkYZqe78fN_ZpIUy	CENGAGE ALGEBRA BOOK SOLVED EXAMPLE	WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
THOERY OF EQUATION	https://www.youtube.com/watch?v=rx8chAgXwhs&list=PLbu_fGT0MPsvrb3-8HLf8cic6djjL7KDo	CENGAGE ALGEBRA BOOK SOLVED EXAMPLE	WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
COMPLEX NUMBER	https://www.youtube.com/watch?v=1htxVTpHTS4&list=PLbu_fGT0MPst8MSMkBDnOHD9I7EkQBoUo	CENGAGE ALGEBRA BOOK SOLVED EXAMPLE	WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
NUMBER THOERY	https://www.youtube.com/watch?v=FAmvFm8ELgY&list=PLIDpKxpqzb0HkKqOe4go2XM9KhU3xFVCH	TOMATO OBJECTIVE QUESTIONS	WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
LINEAR ALGEBRA	https://www.youtube.com/playlist?list=PLKS7ZMKnbPrT-Gy4k0r8jAr0mX2K32yyV	ANY ENGINEERING MATHEMATICS BOOK	WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
	https://www.youtube.com/watch?v=np-FGJTsgUU&list=PLKS7ZMKnbPrSINzXnhUudFxYAyXCD4gm-		WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
PARABOLA	https://www.youtube.com/watch?v=LsYvJc56yag	ARIHANT BOOK+TOMATO	WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
ELLIPSE	https://www.youtube.com/watch?v=8asqPexzYzc	ARIHANT BOOK+TOMATO	WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
HYPERBOLA	https://www.youtube.com/watch?v=Es6IoDqItuc\	ARIHANT BOOK+TOMATO	WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
SEQUENCES AND ITS PROPERTIES	https://www.youtube.com/playlist?list=PL_QIQEraLweFvlVDFu_oTqgNvXUie_BR5	HK DAS	WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
	https://www.youtube.com/playlist?list=PL_QIQEraLweE0Twx6FckIEbBoAMX2MM4c	HK DAS	WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
FUNCTION OF SEVERAL VARIABLES	https://www.youtube.com/watch?v=ZdTKf8HmZvA&list=PLbPKXd6I4z1n1Mj29c9nBWXwpnWv-mXKm	FROM ENGG MATHEMATICS BOOK	WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
DIFFERENTIAL EQUATION	https://www.youtube.com/watch?v=bjJZKTrCBNw&list=PLU6SqdYcYsfIuZVt20v-eNZBfFLENrM1F&index=1	FROM ENGG MATHEMATICS BOOK	WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
PROBABILITY	https://www.youtube.com/watch?v=w5L0J_OY9iU&list=PLbu_fGT0MPsuYEGQGhOjYE_g257ukBXuC	CENGAGE ALGEBRA BOOK SOLVED EXAMPLE	WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
"REMAINDER THOEREM ,FACTOR THOEREM"	https://www.youtube.com/watch?v=cgXTohh7UkI		WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
DOUBLE INTEGRAL	https://www.youtube.com/watch?v=Z5S3tLEUgjQ&list=PLm-b21hT527UoxWNVEf7NIbSby-XfJ7LF	ANY ENGINEERING MATHEMATICS BOOK	WATCH ONE SHOT VIDEOS FROM UNACADEMY OR PW
